task,model,language,metric,value
PIQA,DeepSeek-R1-Distill,Macedonian,accuracy,0.57
PIQA,DeepSeek-R1-Distill,English,accuracy,0.63
PIQA,DeepSeek-R1-Distill,Chakavian Dialect,accuracy,0.5
PIQA,DeepSeek-R1-Distill,Serbian,accuracy,0.6
PIQA,DeepSeek-R1-Distill,Slovenian,accuracy,0.48
PIQA,DeepSeek-R1-Distill,Cerkno Dialect,accuracy,0.5
PIQA,DeepSeek-R1-Distill,Bulgarian,accuracy,0.55
PIQA,DeepSeek-R1-Distill,Croatian,accuracy,0.6
PIQA,DeepSeek-R1-Distill,Bosnian,accuracy,0.73
PIQA,Gemma 3,Macedonian,accuracy,0.9
PIQA,Gemma 3,English,accuracy,0.84
PIQA,Gemma 3,Chakavian Dialect,accuracy,0.48
PIQA,Gemma 3,Serbian,accuracy,0.92
PIQA,Gemma 3,Slovenian,accuracy,0.87
PIQA,Gemma 3,Cerkno Dialect,accuracy,0.57
PIQA,Gemma 3,Bulgarian,accuracy,0.92
PIQA,Gemma 3,Croatian,accuracy,0.94
PIQA,Gemma 3,Bosnian,accuracy,1.0
PIQA,LLaMA 3.3,Macedonian,accuracy,0.95
PIQA,LLaMA 3.3,English,accuracy,0.91
PIQA,LLaMA 3.3,Chakavian Dialect,accuracy,0.53
PIQA,LLaMA 3.3,Serbian,accuracy,0.87
PIQA,LLaMA 3.3,Slovenian,accuracy,0.83
PIQA,LLaMA 3.3,Cerkno Dialect,accuracy,0.54
PIQA,LLaMA 3.3,Bulgarian,accuracy,0.94
PIQA,LLaMA 3.3,Croatian,accuracy,0.89
PIQA,LLaMA 3.3,Bosnian,accuracy,1.0
PIQA,Qwen 3,Macedonian,accuracy,0.86
PIQA,Qwen 3,English,accuracy,0.93
PIQA,Qwen 3,Chakavian Dialect,accuracy,0.54
PIQA,Qwen 3,Serbian,accuracy,0.85
PIQA,Qwen 3,Slovenian,accuracy,0.75
PIQA,Qwen 3,Cerkno Dialect,accuracy,0.49
PIQA,Qwen 3,Bulgarian,accuracy,0.93
PIQA,Qwen 3,Croatian,accuracy,0.9
PIQA,Qwen 3,Bosnian,accuracy,0.97
PIQA,GPT-3.5-Turbo,Macedonian,accuracy,0.8
PIQA,GPT-3.5-Turbo,English,accuracy,0.86
PIQA,GPT-3.5-Turbo,Chakavian Dialect,accuracy,0.49
PIQA,GPT-3.5-Turbo,Serbian,accuracy,0.79
PIQA,GPT-3.5-Turbo,Slovenian,accuracy,0.78
PIQA,GPT-3.5-Turbo,Cerkno Dialect,accuracy,0.5
PIQA,GPT-3.5-Turbo,Bulgarian,accuracy,0.78
PIQA,GPT-3.5-Turbo,Croatian,accuracy,0.88
PIQA,GPT-3.5-Turbo,Bosnian,accuracy,0.99
PIQA,GPT-4o,Macedonian,accuracy,1.0
PIQA,GPT-4o,English,accuracy,0.97
PIQA,GPT-4o,Chakavian Dialect,accuracy,0.59
PIQA,GPT-4o,Serbian,accuracy,0.98
PIQA,GPT-4o,Slovenian,accuracy,0.97
PIQA,GPT-4o,Cerkno Dialect,accuracy,0.78
PIQA,GPT-4o,Bulgarian,accuracy,0.97
PIQA,GPT-4o,Croatian,accuracy,0.99
PIQA,GPT-4o,Bosnian,accuracy,1.0
PIQA,GPT-5,Macedonian,accuracy,1.0
PIQA,GPT-5,English,accuracy,0.97
PIQA,GPT-5,Chakavian Dialect,accuracy,0.76
PIQA,GPT-5,Serbian,accuracy,0.99
PIQA,GPT-5,Slovenian,accuracy,0.99
PIQA,GPT-5,Cerkno Dialect,accuracy,0.88
PIQA,GPT-5,Bulgarian,accuracy,0.97
PIQA,GPT-5,Croatian,accuracy,1.0
PIQA,GPT-5,Bosnian,accuracy,1.0
PIQA,Mistral Medium 3.1,Macedonian,accuracy,0.92
PIQA,Mistral Medium 3.1,English,accuracy,0.94
PIQA,Mistral Medium 3.1,Chakavian Dialect,accuracy,0.53
PIQA,Mistral Medium 3.1,Serbian,accuracy,0.93
PIQA,Mistral Medium 3.1,Slovenian,accuracy,0.86
PIQA,Mistral Medium 3.1,Cerkno Dialect,accuracy,0.62
PIQA,Mistral Medium 3.1,Bulgarian,accuracy,0.95
PIQA,Mistral Medium 3.1,Croatian,accuracy,0.96
PIQA,Mistral Medium 3.1,Bosnian,accuracy,1.0
PIQA,Gemini 2.5 Flash,Macedonian,accuracy,0.99
PIQA,Gemini 2.5 Flash,English,accuracy,0.94
PIQA,Gemini 2.5 Flash,Chakavian Dialect,accuracy,0.61
PIQA,Gemini 2.5 Flash,Serbian,accuracy,0.94
PIQA,Gemini 2.5 Flash,Slovenian,accuracy,0.96
PIQA,Gemini 2.5 Flash,Cerkno Dialect,accuracy,0.77
PIQA,Gemini 2.5 Flash,Bulgarian,accuracy,0.96
PIQA,Gemini 2.5 Flash,Croatian,accuracy,0.99
PIQA,Gemini 2.5 Flash,Bosnian,accuracy,1.0
PIQA,Claude Haiku 4.5,Macedonian,accuracy,0.94
PIQA,Claude Haiku 4.5,English,accuracy,0.91
PIQA,Claude Haiku 4.5,Chakavian Dialect,accuracy,0.5
PIQA,Claude Haiku 4.5,Serbian,accuracy,0.94
PIQA,Claude Haiku 4.5,Slovenian,accuracy,0.89
PIQA,Claude Haiku 4.5,Cerkno Dialect,accuracy,0.57
PIQA,Claude Haiku 4.5,Bulgarian,accuracy,0.96
PIQA,Claude Haiku 4.5,Croatian,accuracy,0.98
PIQA,Claude Haiku 4.5,Bosnian,accuracy,1.0
PIQA,Gemini 2.5 Pro,Macedonian,accuracy,1.0
PIQA,Gemini 2.5 Pro,English,accuracy,0.95
PIQA,Gemini 2.5 Pro,Chakavian Dialect,accuracy,0.79
PIQA,Gemini 2.5 Pro,Serbian,accuracy,0.93
PIQA,Gemini 2.5 Pro,Slovenian,accuracy,1.0
PIQA,Gemini 2.5 Pro,Cerkno Dialect,accuracy,0.95
PIQA,Gemini 2.5 Pro,Bulgarian,accuracy,0.96
PIQA,Gemini 2.5 Pro,Croatian,accuracy,0.98
PIQA,Gemini 2.5 Pro,Bosnian,accuracy,0.98
PIQA,GaMS-27B-Instruct,Macedonian,accuracy,0.87
PIQA,GaMS-27B-Instruct,English,accuracy,0.79
PIQA,GaMS-27B-Instruct,Chakavian Dialect,accuracy,0.48
PIQA,GaMS-27B-Instruct,Serbian,accuracy,0.73
PIQA,GaMS-27B-Instruct,Slovenian,accuracy,0.82
PIQA,GaMS-27B-Instruct,Cerkno Dialect,accuracy,0.58
PIQA,GaMS-27B-Instruct,Bulgarian,accuracy,0.84
PIQA,GaMS-27B-Instruct,Croatian,accuracy,0.87
PIQA,GaMS-27B-Instruct,Bosnian,accuracy,0.97
COPA,GPT-5,English,accuracy,0.996
COPA,GPT-5,Slovenian,accuracy,0.998
COPA,GPT-5,Croatian,accuracy,0.99
COPA,GPT-5,Chakavian Dialect,accuracy,0.916
COPA,GPT-5,Macedonian,accuracy,0.986
COPA,GPT-5,Torlak Dialect,accuracy,0.984
COPA,GPT-5,Cerkno Dialect,accuracy,0.886
COPA,GPT-5,Serbian,accuracy,0.992
COPA,GPT-4o,English,accuracy,0.988
COPA,GPT-4o,Slovenian,accuracy,0.97
COPA,GPT-4o,Croatian,accuracy,0.972
COPA,GPT-4o,Chakavian Dialect,accuracy,0.774
COPA,GPT-4o,Macedonian,accuracy,0.968
COPA,GPT-4o,Torlak Dialect,accuracy,0.932
COPA,GPT-4o,Cerkno Dialect,accuracy,0.676
